Year,Country,Associated Dis,Dis Mag Value,Latitude,Longitude,Total Deaths
1902,Guatemala,Tsunami/Tidal wave,8.0,14.0,-91.0,2000.0
1905,India,,8.0,32.04,76.16,20000.0
1906,Chile,Tsunami/Tidal wave,8.0,33.05,71.4,20000.0
1906,Colombia,Tsunami/Tidal wave,9.0,1.51,-78.46,400.0
1907,China,,7.0,38.5,69.9,12000.0
1909,France,,6.0,44.05,6.14,46.0
1910,Algeria,,6.0,36.0,4.0,12.0
1914,Indonesia,Tsunami/Tidal wave,8.0,-3.924,101.82,20.0
1917,China,,7.0,28.0,104.0,1800.0
1917,Guatemala,,6.0,14.38,-90.22,2650.0
1917,Indonesia,,7.0,-7.0,116.0,15000.0
1918,China,Tsunami/Tidal wave,7.0,23.5,117.0,10000.0
1920,China,"Slide (land, mud, snow, rock)",9.0,36.888,105.606,180000.0
1922,Chile,Tsunami/Tidal wave,9.0,-28.553,-70.755,1000.0
1923,China,,7.0,31.295,100.75,5000.0
1924,Ecuador,,7.0,-1.29,-78.52,40.0
1925,China,,7.0,25.713,100.422,5000.0
1927,Indonesia,Tsunami/Tidal wave,6.0,-0.842,120.764,50.0
1927,China,,8.0,37.645,102.489,40912.0
1928,Canada,,7.0,48.6,-58.0,27.0
1928,Indonesia,,3.0,-8.3,121.7,128.0
1932,Indonesia,,7.0,0.5,126.0,6.0
1933,China,,8.0,31.9,103.4,10000.0
1936,Indonesia,Tsunami/Tidal wave,7.0,6.1,94.7,9.0
1939,Chile,Tsunami/Tidal wave,8.0,-36.305,-72.315,30000.0
1939,Ghana,Tsunami/Tidal wave,6.0,5.552,-0.628,22.0
1943,Chile,Tsunami/Tidal wave,8.0,-31.432,-71.475,12.0
1943,Indonesia,,7.0,-8.591,109.803,213.0
1944,Argentina,,7.0,-31.372,68.436,10000.0
1946,Chile,Tsunami/Tidal wave,8.0,-26.5,-70.5,2.0
1946,Dominican Republic (the),Tsunami/Tidal wave,8.0,19.25,-69.0,73.0
1949,Ecuador,"Slide (land, mud, snow, rock)",7.0,-1.5,-78.2,6000.0
1949,Chile,Tsunami/Tidal wave,7.0,-38.0,-73.5,35.0
1949,Chile,Tsunami/Tidal wave,8.0,-54.0,-71.0,6.0
1950,India,"Slide (land, mud, snow, rock)",9.0,28.5,96.5,1500.0
1953,Chile,Tsunami/Tidal wave,8.0,-37.093,-72.866,12.0
1953,Cyprus,Tsunami/Tidal wave,6.0,34.741,32.335,40.0
1953,Greece,Tsunami/Tidal wave,7.0,38.182,20.942,476.0
1953,Chile,,7.0,-22.1,-68.7,3.0
1954,Algeria,Tsunami/Tidal wave,7.0,36.283,1.467,1250.0
1954,Greece,,7.0,39.3,22.2,31.0
1955,China,,8.0,30.0,101.8,39.0
